"","tsn","scientificname","kingdom","phylum","classname","ordername","family","genus","species","myersname","commonname1","commonname2","myersscientificname","myersfamily"
"71",172932,"Hippoglossus stenolepis","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus","stenolepis","PHAL","Pacific halibut","NA","NA","NA"
"72",172917,"Lepidopsetta bilineata","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Lepidopsetta","bilineata","RSOLE","Rock sole","NA","NA","NA"
"73",172881,"Limanda limanda","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Limanda","limanda","DAB","Common dab","NA","NA","NA"
"74",172911,"Limanda proboscidea","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Limanda","proboscidea","LHDAB","Longhead dab","NA","NA","NA"
"75",616064,"Limanda sakhalinensis","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Limanda","sakhalinensis","SAKFLOUN","Sakalin flounder","NA","NA","NA"
"76",172909,"Limanda ferruginea","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Limanda","ferruginea","YELL","Yellowtail flounder","NA","NA","NA"
"77",172907,"Limanda aspera","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Limanda","aspera","YSOLE","Yellowfin sole","NA","NA","NA"
"78",172921,"Parophrys vetulus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Parophrys","vetulus","ESOLE","English sole","NA","NA","NA"
"79",172894,"Platichthys flesus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Platichthys","flesus","FLOUN","Flounder","NA","NA","NA"
"80",172893,"Platichthys stellatus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Platichthys","stellatus","STFLOUN","Starry flounder","NA","NA","NA"
"81",172901,"Pleuronectes quadrituberculatus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Pleuronectes","quadrituberculatus","ALPLAIC","Alaska plaice","NA","NA","NA"
"82",172902,"Pleuronectes platessa","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Pleuronectes","platessa","PLAIC","European Plaice","Plaice","NA","NA"
"83",172905,"Pseudopleuronectes americanus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Pseudopleuronectes","americanus","WINFLOUN","Winter flounder","NA","NA","NA"
"84",172930,"Reinhardtius hippoglossoides","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Reinhardtius","hippoglossoides","GHAL","Greenland halibut","Greenland turbot","NA","NA"
"85",168559,"Pomatomus saltatrix","Animalia","Chordata","Actinopterygii","Perciformes","Pomatomidae","Pomatomus","saltatrix","BLUEFISH","Bluefish","NA","NA","NA"
"86",564149,"Amblyraja radiata","Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Amblyraja","radiata","THSKAT","Thorny skate","NA","NA","NA"
"87",564139,"Dipturus laevis","Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Dipturus","laevis","BSKAT","Barndoor skate","NA","NA","NA"
"88",564130,"Leucoraja erinacea","Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Leucoraja","erinacea","LSKAT","Little skate","NA","NA","NA"
"89",564136,"Leucoraja garmani","Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Leucoraja","garmani","RSKAT","Rosette skate","Freckled skate","NA","NA"
"90",564145,"Leucoraja ocellata","Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Leucoraja","ocellata","WSKAT","Winter skate","NA","NA","NA"
"91",564151,"Malacoraja senta","Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Malacoraja","senta","SSKAT","Smooth skate","NA","NA","NA"
"92",160855,"Raja eglanteria","Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Raja","eglanteria","CSKAT","Clearnose skate","NA","NA","NA"
"93",172412,"Scomber japonicus","Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Scomber","japonicus","CMACK","Chub mackerel","Pacific chub mackerel","NA","NA"
"94",172414,"Scomber scombrus","Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Scomber","scombrus","MACK","Mackerel","Atlantic mackerel","NA","NA"
"95",172435,"Scomberomorus cavalla","Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Scomberomorus","cavalla","KMACK","King Mackerel","NA","NA","NA"
"96",172419,"Thunnus alalunga","Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Thunnus","alalunga","ALBA","Albacore tuna","NA","NA","NA"
"97",172421,"Thunnus thynnus","Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Thunnus","thynnus","ATBTUNA","Atlantic bluefin tuna","Northern bluefin tuna","NA","NA"
"98",172428,"Thunnus obesus","Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Thunnus","obesus","BIGEYE","Bigeye tuna","NA","NA","NA"
"99",172431,"Thunnus maccoyii","Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Thunnus","maccoyii","SBTUNA","Southern bluefin tuna","NA","NA","NA"
"100",172423,"Thunnus albacares","Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Thunnus","albacares","YFIN","Yellowfin tuna","NA","NA","NA"
"101",172834,"Lepidorhombus boscii","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Scophthalmidae","Lepidorhombus","boscii","FMEG","Fourspotted megrim","NA","NA","NA"
"102",172835,"Lepidorhombus whiffiagonis","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Scophthalmidae","Lepidorhombus","whiffiagonis","MEG","Megrim","NA","NA","NA"
"103",172746,"Scophthalmus aquosus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Scophthalmidae","Scophthalmus","aquosus","WINDOW","Windowpane","Windowpane flounder","NA","NA"
"104",166827,"Scorpaena guttata","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Scorpaena","guttata","CALSCORP","California scorpionfish","NA","NA","NA"
"105",166774,"Sebastes fasciatus","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Sebastes","fasciatus","ACADRED","Acadian redfish","Redfish","NA","NA"
"106",166733,"Sebastes paucispinis","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Sebastes","paucispinis","BOCACC","Bocaccio","NA","NA","NA"
"107",166722,"Sebastes goodei","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Sebastes","goodei","CHILI","Chilipepper rockfish","Chilipepper","NA","NA"
"108",166754,"Sebastes levis","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Sebastes","levis","COWCOD","Cowcod","NA","NA","NA"
"109",166715,"Sebastes crameri","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Sebastes","crameri","DKROCK","Darkblotched rockfish","NA","NA","NA"
"110",166767,"Sebastes carnatus","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Sebastes","carnatus","GOPHER","Gopher rockfish","NA","NA","NA"
"111",166707,"Sebastes alutus","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Sebastes","alutus","POPERCH","Pacific ocean perch","NA","NA","NA"
"112",167862,"Serranus scriba","Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Serranus","scriba","REDMAR","Ocean perch","Redfish","NA","NA"
"113",166756,"Sebastes mentella","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Sebastes","mentella","REDMEN","Deepwater redfish","Redfish","NA","NA"
"114",166781,"Sebastes norvegicus","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Sebastes","norvegicus","GOLDRED","Golden Redfish","NA","NA","NA"
"115",166729,"Sebastes miniatus","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Sebastes","miniatus","VERMIL","Vermilion rockfish","NA","NA","NA"
